pos,combo,min,gf,ga,pm,pm_per90
D,Rojas · Ulloa · Villagra · Wiemberg,75.0,2,0,2,2.4
D,Fernández · Sosa · Ulloa · Villagra,90.0,3,1,2,2.0
D,Rojas · Sosa · Ulloa · Villagra,650.0,4,3,1,0.14
D,Rojas · Sosa · Villagra · Wiemberg,74.0,0,0,0,0.0
D,Fernández · Sosa · Villagra · Wiemberg,66.0,0,3,-3,-4.09
F,Romero,62.0,1,0,1,1.45
F,Pastrán · Romero,211.0,3,0,3,1.28
F,Correa · Romero,239.0,1,1,0,0.0
F,Correa · Pastrán,45.0,0,0,0,0.0
F,Hernández · Romero,236.0,2,3,-1,-0.38
F,Hernández · Pastrán · Romero,46.0,0,1,-1,-1.96
G,Maureira,200.0,4,2,2,0.9
G,Paul,790.0,6,5,1,0.11
M,Alarcón · Aquino · Madrid · Méndez · Vidal,62.0,1,0,1,1.45
M,Alarcón · Madrid · Marchant · Méndez,84.0,1,0,1,1.07
M,Alarcón · Madrid · Méndez · Vidal,223.0,3,1,2,0.81
M,Alarcón · Aquino · Méndez · Vidal,319.0,2,0,2,0.56
M,Madrid · Méndez · Vidal,46.0,0,1,-1,-1.96
M,Alarcón · Marchant · Méndez · Vidal,46.0,0,3,-3,-5.87
