player_id,player,partidos,minutos,gf_on,ga_on,plus_minus,pm_per90
340455,Claudio Aquino,10,512.0,6,0,6,1.05
1176822,Diego Ulloa,10,830.0,9,4,5,0.54
844224,Tomás Alarcón,10,812.0,10,6,4,0.44
1022259,Jeyson Rojas,10,834.0,7,3,4,0.43
1014795,Jonathan Villagra,11,981.0,10,7,3,0.28
792585,Maximiliano Romero,11,855.0,8,5,3,0.32
1997136,Yastin Cuevas,8,97.0,3,0,3,2.78
1980388,Gabriel Maureira,3,200.0,4,2,2,0.9
889502,Álvaro Madrid,10,614.0,6,4,2,0.29
18342,Arturo Vidal,10,774.0,7,5,2,0.23
870020,Víctor Felipe Méndez,11,946.0,9,7,2,0.19
1002936,Cristian Riquelme,1,15.0,1,0,1,6.0
818874,Fernando de Paul,9,790.0,6,5,1,0.11
1015274,Joaquín Sosa,11,915.0,8,7,1,0.1
2537211,Rodrigo Catalán,1,1.0,0,0,0,0.0
581780,Javier Correa,8,372.0,3,3,0,0.0
1482420,Francisco Marchant,9,239.0,3,3,0,0.0
924858,Javier Méndez,3,6.0,0,0,0,0.0
1199243,Lautaro Pastrán,6,340.0,3,3,0,0.0
805170,Matías Fernández,3,165.0,3,4,-1,-0.55
973993,Erick Wiemberg,5,215.0,2,3,-1,-0.42
1601711,Leandro Hernández,10,377.0,2,6,-4,-0.95
