player_id,player,team,rival,match_id,date,venue,minutes,gf_on,ga_on,pm
975882,Tomás Ahumada,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,90.0,2,0,2
1083863,Nicolás Aedo,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,82.0,2,0,2
981010,Enzo Ferrario,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,90.0,2,0,2
895340,Marcelo Ortíz,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,90.0,2,0,2
1177235,Daniel Piña,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,90.0,2,0,2
1177236,Esteban Matus,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,90.0,2,0,2
997539,Rodrigo Cabral,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,62.0,2,0,2
942156,Marco Collao,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,90.0,2,0,2
986532,Federico Mateos,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,82.0,2,0,2
912067,Michael Vadulli,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,68.0,2,0,2
875274,Diego Coelho,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,62.0,2,0,2
1485094,Giovani Chiaverano,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,28.0,0,0,0
1114520,Paolo Guajardo,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,28.0,0,0,0
859990,Franco Troyansky,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,22.0,0,0,0
1920586,Mario Sandoval,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,8.0,0,0,0
1473443,Diego Monreal,Audax Italiano,Universidad de Concepción,15352948,2026-02-06,Home,8.0,0,0,0
1002740,Santiago Silva Azambuja,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,90.0,0,2,-2
883483,Moisés González,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,90.0,0,2,-2
47037,Osvaldo González,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,69.0,0,2,-2
365990,Leonel González,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,90.0,0,2,-2
986609,Jorge Espejo,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,69.0,0,2,-2
896753,Facundo Mater,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,90.0,0,2,-2
939997,Cristhofer Mesías,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,82.0,0,2,-2
906108,Antonio Díaz,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,60.0,0,2,-2
2163290,Cristobal Zambrano,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,46.0,0,2,-2
159931,Cecilio Waterman,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,90.0,0,2,-2
1106828,Jeison Fuentealba,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,90.0,0,2,-2
965719,Ariel Uribe,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,44.0,0,0,0
906102,Yerco Oyanedel,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,30.0,0,0,0
973567,Pablo Parra,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,21.0,0,0,0
1482287,David Retamal,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,21.0,0,0,0
965775,Agustín Urzi,Universidad de Concepción,Audax Italiano,15352948,2026-02-06,Away,8.0,0,0,0
995285,Alejandro Santander,Cobresal,Universidad Católica,15352949,2026-02-14,Home,90.0,3,1,2
818865,Guillermo Pacheco,Cobresal,Universidad Católica,15352949,2026-02-14,Home,90.0,3,1,2
889519,Franco Bechtholdt,Cobresal,Universidad Católica,15352949,2026-02-14,Home,90.0,3,1,2
832663,Christian Moreno,Cobresal,Universidad Católica,15352949,2026-02-14,Home,90.0,3,1,2
986622,José Tiznado,Cobresal,Universidad Católica,15352949,2026-02-14,Home,90.0,3,1,2
1014802,Rodrigo Sandoval,Cobresal,Universidad Católica,15352949,2026-02-14,Home,36.0,2,0,2
1021117,César Yanis,Cobresal,Universidad Católica,15352949,2026-02-14,Home,86.0,3,1,2
873620,Agustin Nadruz,Cobresal,Universidad Católica,15352949,2026-02-14,Home,90.0,3,1,2
790000,Bryan Carvallo,Cobresal,Universidad Católica,15352949,2026-02-14,Home,90.0,3,1,2
937101,Steffan Pino,Cobresal,Universidad Católica,15352949,2026-02-14,Home,86.0,3,1,2
974736,Julián Brea,Cobresal,Universidad Católica,15352949,2026-02-14,Home,78.0,3,1,2
1016643,Aaron Astudillo,Cobresal,Universidad Católica,15352949,2026-02-14,Home,54.0,1,1,0
962847,Esteban Valencia,Cobresal,Universidad Católica,15352949,2026-02-14,Home,12.0,0,0,0
1973053,Benjamín Valenzuela,Cobresal,Universidad Católica,15352949,2026-02-14,Home,4.0,0,0,0
1835784,Matias Sepulveda,Cobresal,Universidad Católica,15352949,2026-02-14,Home,4.0,0,0,0
