player_id,player,team,match_id,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves
975882,Tomás Ahumada,Audax Italiano,15352948,90,0,0,0,0,0,0,0,60,50,37,24,11,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,3
1083863,Nicolás Aedo,Audax Italiano,15352948,82,0,0,0,0,1,0,0,48,33,25,7,4,5,1,0,0,1,1,0,0,0,3,2,4,0,2,2,0,0
981010,Enzo Ferrario,Audax Italiano,15352948,90,0,0,0,0,0,0,0,58,40,30,7,5,0,0,0,0,0,6,1,1,2,0,4,4,1,0,1,0,0
895340,Marcelo Ortíz,Audax Italiano,15352948,90,0,0,1,0,1,0,0,35,24,19,4,1,0,0,0,0,1,5,1,1,1,2,2,1,1,1,0,0,0
1177235,Daniel Piña,Audax Italiano,15352948,90,0,0,0,0,0,0,0,49,39,32,11,5,0,0,0,0,1,2,3,3,0,5,4,2,1,0,1,0,0
1177236,Esteban Matus,Audax Italiano,15352948,90,0,2,1,0,2,1,0,35,20,19,2,1,2,1,2,1,0,0,1,1,0,4,2,5,0,1,0,1,0
997539,Rodrigo Cabral,Audax Italiano,15352948,62,0,0,2,1,1,0,0,32,17,15,0,0,1,1,0,0,0,3,0,0,0,1,3,4,0,2,3,0,0
942156,Marco Collao,Audax Italiano,15352948,90,0,0,1,0,1,1,0,65,49,39,6,4,0,0,1,0,4,3,1,2,1,8,3,3,0,1,0,0,0
986532,Federico Mateos,Audax Italiano,15352948,82,1,0,1,2,0,0,0,54,41,32,7,5,0,0,0,0,0,0,3,7,1,5,9,5,0,2,1,0,0
912067,Michael Vadulli,Audax Italiano,15352948,68,0,0,2,0,2,0,1,40,23,17,1,0,2,0,3,3,0,0,1,2,0,3,6,2,0,0,1,0,0
875274,Diego Coelho,Audax Italiano,15352948,62,1,0,1,2,1,0,0,29,13,5,1,0,1,0,2,2,0,2,0,0,4,0,7,7,0,0,1,0,0
1114520,Paolo Guajardo,Audax Italiano,15352948,28,0,0,1,0,0,0,0,16,7,4,0,0,1,0,1,1,1,1,0,0,0,2,2,0,0,0,1,0,0
1485094,Giovani Chiaverano,Audax Italiano,15352948,28,0,1,0,0,3,1,0,10,5,4,1,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0
859990,Franco Troyansky,Audax Italiano,15352948,22,1,0,3,3,1,0,0,14,8,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0
1473443,Diego Monreal,Audax Italiano,15352948,8,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
1920586,Mario Sandoval,Audax Italiano,15352948,8,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,2,0,0,0
1002740,Santiago Silva Azambuja,Universidad de Concepción,15352948,90,0,0,0,0,0,0,0,40,30,22,11,3,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,2
883483,Moisés González,Universidad de Concepción,15352948,90,0,0,0,0,0,0,0,68,43,36,5,4,1,1,0,0,0,5,2,3,1,5,4,4,0,0,0,0,0
47037,Osvaldo González,Universidad de Concepción,15352948,69,0,0,0,0,0,0,0,38,31,25,5,1,0,0,0,0,0,4,1,1,4,5,6,5,1,3,1,0,0
365990,Leonel González,Universidad de Concepción,15352948,90,0,0,1,0,0,0,0,68,42,32,7,2,1,0,0,0,5,5,2,2,0,7,4,7,0,2,2,0,0
