match_id,date,scoring_team,conceding_team,franja,minute
15352948,2026-02-06,Audax Italiano,Universidad de Concepción,76-90'+,90
15352948,2026-02-06,Audax Italiano,Universidad de Concepción,31-45',42
15352948,2026-02-06,Audax Italiano,Universidad de Concepción,0-15',8
15352949,2026-02-14,Universidad Católica,Cobresal,76-90'+,90
15352949,2026-02-14,Cobresal,Universidad Católica,46-60',50
15352949,2026-02-14,Universidad Católica,Cobresal,31-45',44
15352949,2026-02-14,Cobresal,Universidad Católica,0-15',14
15352949,2026-02-14,Cobresal,Universidad Católica,0-15',3
15352950,2026-02-14,Deportes Limache,O'Higgins,46-60',52
15352950,2026-02-14,O'Higgins,Deportes Limache,16-30',19
15352950,2026-02-14,Deportes Limache,O'Higgins,0-15',14
15352951,2026-02-01,Universidad Católica,Deportes La Serena,76-90'+,85
15352951,2026-02-01,Universidad Católica,Deportes La Serena,46-60',45
15352951,2026-02-01,Deportes La Serena,Universidad Católica,31-45',38
15352951,2026-02-01,Deportes La Serena,Universidad Católica,31-45',33
15352952,2026-01-31,Universidad de Concepción,Coquimbo Unido,46-60',53
15352954,2026-02-02,Unión La Calera,Everton de Viña del Mar,16-30',24
15352955,2026-02-08,Universidad Católica,Deportes Concepción,61-75',71
15352955,2026-02-08,Universidad Católica,Deportes Concepción,46-60',51
15352957,2026-02-15,Colo-Colo,Unión La Calera,76-90'+,90
15352958,2026-01-31,Cobresal,Huachipato,46-60',45
15352959,2026-02-13,Huachipato,Everton de Viña del Mar,76-90'+,89
15352959,2026-02-13,Huachipato,Everton de Viña del Mar,46-60',56
15352959,2026-02-13,Huachipato,Everton de Viña del Mar,46-60',51
15352960,2026-02-14,Coquimbo Unido,Deportes La Serena,76-90'+,75
15352961,2026-02-15,Universidad de Concepción,Deportes Concepción,61-75',71
15352961,2026-02-15,Universidad de Concepción,Deportes Concepción,46-60',50
15352961,2026-02-15,Deportes Concepción,Universidad de Concepción,16-30',22
15352962,2026-02-20,Deportes Concepción,Cobresal,76-90'+,90
15352962,2026-02-20,Cobresal,Deportes Concepción,76-90'+,81
15352963,2026-02-15,Ñublense,Audax Italiano,46-60',45
15352964,2026-02-09,Cobresal,Unión La Calera,46-60',45
15352964,2026-02-09,Unión La Calera,Cobresal,31-45',35
15352964,2026-02-09,Unión La Calera,Cobresal,16-30',29
15352964,2026-02-09,Unión La Calera,Cobresal,0-15',8
15352965,2026-01-31,Colo-Colo,Deportes Limache,76-90'+,83
15352965,2026-01-31,Deportes Limache,Colo-Colo,16-30',27
15352965,2026-01-31,Deportes Limache,Colo-Colo,0-15',14
15352965,2026-01-31,Deportes Limache,Colo-Colo,0-15',7
15352967,2026-02-21,Universidad Católica,Coquimbo Unido,61-75',70
15352967,2026-02-21,Universidad Católica,Coquimbo Unido,46-60',48
15352967,2026-02-21,Universidad Católica,Coquimbo Unido,31-45',35
15352967,2026-02-21,Coquimbo Unido,Universidad Católica,16-30',19
15352968,2026-02-22,Audax Italiano,Everton de Viña del Mar,61-75',67
15352969,2026-02-07,Coquimbo Unido,Palestino,76-90'+,76
15352969,2026-02-07,Palestino,Coquimbo Unido,61-75',73
15352969,2026-02-07,Coquimbo Unido,Palestino,31-45',33
