player_id,player,team,position,pos_label,partidos
986464,Bryan Soto,Audax Italiano,M,Mediocampo,1
1177235,Daniel Piña,Audax Italiano,D,Defensa,11
875274,Diego Coelho,Audax Italiano,F,Delantera,11
1473443,Diego Monreal,Audax Italiano,D,Defensa,11
981010,Enzo Ferrario,Audax Italiano,D,Defensa,8
1177236,Esteban Matus,Audax Italiano,M,Mediocampo,11
1440662,Favian Loyola,Audax Italiano,M,Mediocampo,10
986532,Federico Mateos,Audax Italiano,M,Mediocampo,10
859990,Franco Troyansky,Audax Italiano,F,Delantera,11
1485094,Giovani Chiaverano,Audax Italiano,F,Delantera,11
1177430,Ignacio Fuenzalida,Audax Italiano,F,Delantera,1
2456836,Joel Ahumada,Audax Italiano,F,Delantera,1
895340,Marcelo Ortíz,Audax Italiano,D,Defensa,11
942156,Marco Collao,Audax Italiano,M,Mediocampo,9
1920586,Mario Sandoval,Audax Italiano,M,Mediocampo,8
1997135,Martín Jiménez,Audax Italiano,D,Defensa,7
1879799,Martín Valdés,Audax Italiano,M,Mediocampo,4
912067,Michael Vadulli,Audax Italiano,M,Mediocampo,7
1083863,Nicolás Aedo,Audax Italiano,M,Mediocampo,10
906112,Oliver Rojas,Audax Italiano,M,Mediocampo,8
1114520,Paolo Guajardo,Audax Italiano,M,Mediocampo,10
1106832,Pedro Garrido,Audax Italiano,G,Arquero,11
804983,Raimundo Rebolledo,Audax Italiano,D,Defensa,7
997539,Rodrigo Cabral,Audax Italiano,F,Delantera,11
975882,Tomás Ahumada,Audax Italiano,G,Arquero,11
2409605,Tomás Leyton,Audax Italiano,M,Mediocampo,4
2456839,Vicente Zenteno,Audax Italiano,M,Mediocampo,5
1016643,Aaron Astudillo,Cobresal,D,Defensa,9
873620,Agustin Nadruz,Cobresal,M,Mediocampo,8
995285,Alejandro Santander,Cobresal,G,Arquero,11
987924,Antonio Castillo,Cobresal,D,Defensa,5
1835777,Benjamin Moreno,Cobresal,F,Delantera,7
1835778,Benjamín Ramírez,Cobresal,M,Mediocampo,5
1973053,Benjamín Valenzuela,Cobresal,M,Mediocampo,11
2411247,Benjamín Villarroel,Cobresal,D,Defensa,3
790000,Bryan Carvallo,Cobresal,M,Mediocampo,11
832663,Christian Moreno,Cobresal,D,Defensa,11
1021117,César Yanis,Cobresal,M,Mediocampo,9
2488762,Dennis Leyton,Cobresal,M,Mediocampo,2
962847,Esteban Valencia,Cobresal,M,Mediocampo,11
889519,Franco Bechtholdt,Cobresal,D,Defensa,10
1086986,Franco Frías,Cobresal,F,Delantera,7
818865,Guillermo Pacheco,Cobresal,D,Defensa,11
925598,Jorge Pinos,Cobresal,G,Arquero,11
986622,José Tiznado,Cobresal,D,Defensa,8
385990,Juan Fuentes,Cobresal,M,Mediocampo,10
974736,Julián Brea,Cobresal,F,Delantera,10
1835784,Matias Sepulveda,Cobresal,F,Delantera,3
1802312,Milan Roki,Cobresal,M,Mediocampo,6
1482384,Oliver Ramis,Cobresal,M,Mediocampo,6
1411683,Renato Huerta,Cobresal,F,Delantera,10
1014802,Rodrigo Sandoval,Cobresal,D,Defensa,9
1872533,Sergio Carrasco,Cobresal,F,Delantera,1
937101,Steffan Pino,Cobresal,F,Delantera,11
2148979,Vicente Belmar,Cobresal,M,Mediocampo,2
18342,Arturo Vidal,Colo-Colo,M,Mediocampo,10
1997146,Bruno Torres,Colo-Colo,D,Defensa,1
340455,Claudio Aquino,Colo-Colo,M,Mediocampo,10
1002936,Cristian Riquelme,Colo-Colo,D,Defensa,3
1176822,Diego Ulloa,Colo-Colo,D,Defensa,11
1167082,Eduardo Villanueva,Colo-Colo,G,Arquero,4
973993,Erick Wiemberg,Colo-Colo,D,Defensa,11
818874,Fernando de Paul,Colo-Colo,G,Arquero,9
1482420,Francisco Marchant,Colo-Colo,M,Mediocampo,11
1980388,Gabriel Maureira,Colo-Colo,G,Arquero,9
581780,Javier Correa,Colo-Colo,F,Delantera,8
924858,Javier Méndez,Colo-Colo,D,Defensa,8
2433951,Jerall Astudillo Garcia,Colo-Colo,F,Delantera,1
1022259,Jeyson Rojas,Colo-Colo,D,Defensa,11
1015274,Joaquín Sosa,Colo-Colo,D,Defensa,11
1014795,Jonathan Villagra,Colo-Colo,D,Defensa,11
1199243,Lautaro Pastrán,Colo-Colo,F,Delantera,8
1601711,Leandro Hernández,Colo-Colo,F,Delantera,11
805170,Matías Fernández,Colo-Colo,D,Defensa,10
1980587,Matías Moya,Colo-Colo,D,Defensa,2
792585,Maximiliano Romero,Colo-Colo,F,Delantera,11
2537211,Rodrigo Catalán,Colo-Colo,F,Delantera,2
844224,Tomás Alarcón,Colo-Colo,M,Mediocampo,11
1997139,Vicente Martínez,Colo-Colo,F,Delantera,4
870020,Víctor Felipe Méndez,Colo-Colo,M,Mediocampo,11
1997136,Yastin Cuevas,Colo-Colo,F,Delantera,11
889502,Álvaro Madrid,Colo-Colo,M,Mediocampo,10
1108027,Alejandro Azócar,Coquimbo Unido,F,Delantera,9
805408,Alejandro Camargo,Coquimbo Unido,M,Mediocampo,11
1125880,Benjamín Chandía,Coquimbo Unido,F,Delantera,11
986451,Benjamín Gazzolo,Coquimbo Unido,D,Defensa,10
973986,Cristián Zavala,Coquimbo Unido,F,Delantera,6
386218,Diego Sánchez,Coquimbo Unido,G,Arquero,10
1836149,Dixon Pereira,Coquimbo Unido,F,Delantera,2
986513,Dylan Escobar,Coquimbo Unido,D,Defensa,11
981333,Dylan Glaby,Coquimbo Unido,M,Mediocampo,11
1019924,Elvis Hernández,Coquimbo Unido,D,Defensa,7
986548,Francisco Salinas,Coquimbo Unido,D,Defensa,10
1119737,Gonzalo Flores,Coquimbo Unido,G,Arquero,10
376740,Guido Vadalá,Coquimbo Unido,M,Mediocampo,10
1096735,Juan Cornejo,Coquimbo Unido,D,Defensa,8
39244,Lucas Pratto,Coquimbo Unido,F,Delantera,11
852143,Luis Riveros,Coquimbo Unido,M,Mediocampo,10
986647,Lukas Soza,Coquimbo Unido,D,Defensa,6
889498,Manuel Fernández,Coquimbo Unido,D,Defensa,9
1834686,Martín Mundaca,Coquimbo Unido,F,Delantera,9
1643443,Nicolás Johansen,Coquimbo Unido,F,Delantera,11
2048673,Pablo Rodríguez,Coquimbo Unido,M,Mediocampo,5
889043,Rodrigo Holgado,Coquimbo Unido,F,Delantera,3
829288,Salvador Cordero,Coquimbo Unido,M,Mediocampo,10
974008,Sebastián Cabrera,Coquimbo Unido,D,Defensa,9
974009,Sebastián Galani,Coquimbo Unido,M,Mediocampo,9
1981736,Vicente Villegas,Coquimbo Unido,G,Arquero,2
986422,Aldrix Jara,Deportes Concepción,M,Mediocampo,11
939938,Ariel Cáceres,Deportes Concepción,D,Defensa,8
1482371,Bastián Escobar,Deportes Concepción,F,Delantera,3
312318,Brayan Véjar,Deportes Concepción,M,Mediocampo,9
247079,Carlos Escobar,Deportes Concepción,F,Delantera,7
22973,Cristián Suárez,Deportes Concepción,D,Defensa,11
158269,César Dutra,Deportes Concepción,G,Arquero,7
973523,Diego Carrasco,Deportes Concepción,D,Defensa,9
1836788,Dilan Varas,Deportes Concepción,D,Defensa,1
986529,Ethan Espinoza,Deportes Concepción,M,Mediocampo,10
553508,Fausto Grillo,Deportes Concepción,D,Defensa,7
906106,Ignacio Mesías,Deportes Concepción,F,Delantera,9
1980392,Javier Rojas,Deportes Concepción,D,Defensa,8
28242,Joaquín Larrivey,Deportes Concepción,F,Delantera,9
819072,Jorge Henríquez,Deportes Concepción,M,Mediocampo,8
1482455,Leenhan Romero,Deportes Concepción,M,Mediocampo,5
790010,Leonardo Valencia,Deportes Concepción,M,Mediocampo,11
991004,Mario Sandoval,Deportes Concepción,M,Mediocampo,11
1874662,Martin Ramirez,Deportes Concepción,F,Delantera,1
2076826,Mateo González Peña,Deportes Concepción,D,Defensa,3
924468,Matías Cavalleri,Deportes Concepción,F,Delantera,9
1022801,Mauricio Vera,Deportes Concepción,M,Mediocampo,2
177813,Misael Dávila,Deportes Concepción,M,Mediocampo,11
589548,Nelson Sepúlveda,Deportes Concepción,M,Mediocampo,9
76268,Nery Veloso,Deportes Concepción,G,Arquero,4
830940,Nicolás Araya,Deportes Concepción,G,Arquero,11
988763,Norman Rodríguez,Deportes Concepción,D,Defensa,8
819078,Sebastián Silva,Deportes Concepción,D,Defensa,1
1197454,Yonathan Rodríguez,Deportes Concepción,M,Mediocampo,6
1125898,Ángel Gillard,Deportes Concepción,F,Delantera,11
872138,Andrés Zanini,Deportes La Serena,D,Defensa,9
1875021,Bastián Contreras,Deportes La Serena,F,Delantera,10
2455976,Bastián Sandoval,Deportes La Serena,F,Delantera,6
1002931,Bruno Gutiérrez,Deportes La Serena,D,Defensa,11
2046426,Cristóbal Sepúlveda,Deportes La Serena,M,Mediocampo,5
1906001,Daniel Cordero,Deportes La Serena,F,Delantera,3
147570,Diego Rubio,Deportes La Serena,F,Delantera,11
924505,Eryin Sanhueza,Deportes La Serena,G,Arquero,11
789923,Federico Lanzillotta,Deportes La Serena,G,Arquero,11
1063335,Felipe Chamorro,Deportes La Serena,M,Mediocampo,11
1502658,Fernando Dinamarca,Deportes La Serena,D,Defensa,9
1089454,Francis Mac Allister,Deportes La Serena,M,Mediocampo,10
316170,Gonzalo Escalante,Deportes La Serena,M,Mediocampo,9
