player_id,player,team,partidos,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves,g_per90,a_per90,ga_per90,sh_per90,kp_per90,bcc_per90,crosses_per90,int_per90,clr_per90,rec_per90,saves_per90,fouls_per90,fouled_per90,pass_acc_pct,long_ball_pct,cross_acc_pct,dribble_win_pct,tackle_acc_pct,duel_win_pct,aerial_win_pct,conv_rate,sot_rate
1985127,Ian Alegría,Palestino,1,19,0,1,0,0,1,1,0,13,6,3,0,0,2,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.0,4.74,4.74,0.0,4.74,4.74,9.47,0.0,0.0,4.74,0.0,0.0,0.0,50.0,,50.0,0.0,,0.0,0.0,,
868786,Joe Abrigo,Palestino,1,45,0,1,1,0,1,1,0,21,15,13,2,1,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,86.7,50.0,0.0,0.0,,0.0,0.0,0.0,0.0
1644853,Flavio Moya,Deportes Limache,6,106,1,1,3,3,1,1,0,63,37,27,4,2,2,0,2,1,1,4,1,3,2,5,9,9,0,2,3,0,0,0.85,0.85,1.7,2.55,0.85,0.85,1.7,0.85,3.4,4.25,0.0,1.7,2.55,73.0,50.0,0.0,50.0,33.3,50.0,18.2,33.3,100.0
1997136,Yastin Cuevas,Colo-Colo,8,124,1,1,9,3,3,1,2,48,27,21,0,0,0,0,1,0,0,0,1,1,0,5,2,6,0,2,1,1,0,0.73,0.73,1.45,6.53,2.18,0.73,0.0,0.0,0.0,3.63,0.0,1.45,0.73,77.8,,,0.0,100.0,25.0,0.0,11.1,33.3
973986,Cristián Zavala,Coquimbo Unido,6,249,2,2,4,4,8,2,1,138,82,61,11,6,11,2,7,5,0,3,1,4,1,13,13,15,0,4,3,0,0,0.72,0.72,1.45,1.45,2.89,0.72,3.98,0.0,1.08,4.7,0.0,1.45,1.08,74.4,54.5,18.2,71.4,25.0,46.4,6.2,50.0,100.0
1086986,Franco Frías,Cobresal,5,139,2,0,8,5,2,0,1,53,28,23,1,1,1,0,2,1,0,0,3,3,1,2,7,11,0,2,2,0,0,1.29,0.0,1.29,5.18,1.29,0.0,0.65,0.0,0.0,1.29,0.0,1.29,1.29,82.1,100.0,0.0,50.0,100.0,38.9,8.3,25.0,62.5
925992,Daniel Castro,Deportes Limache,11,954,8,5,40,28,12,3,6,399,246,177,19,11,16,4,23,10,4,1,3,3,5,40,26,45,0,11,8,3,0,0.75,0.47,1.23,3.77,1.13,0.28,1.51,0.38,0.09,3.77,0.0,1.04,0.75,72.0,57.9,25.0,43.5,100.0,36.6,10.0,20.0,70.0
995284,Luis Rojas,Universidad de Concepción,1,75,1,0,2,2,1,0,0,41,27,22,5,1,5,0,4,3,0,0,0,0,0,4,3,4,0,1,0,0,0,1.2,0.0,1.2,2.4,1.2,0.0,6.0,0.0,0.0,4.8,0.0,1.2,0.0,81.5,20.0,0.0,75.0,,42.9,0.0,50.0,100.0
828952,Fernando Zampedri,Universidad Católica,11,981,11,1,31,28,5,2,5,282,150,104,8,6,5,1,10,5,1,8,2,2,12,16,32,43,1,14,13,12,0,1.01,0.09,1.1,2.84,0.46,0.18,0.46,0.09,0.73,1.47,0.0,1.28,1.19,69.3,75.0,20.0,50.0,100.0,42.7,21.8,35.5,90.3
1385794,Maximiliano Gutiérrez,Huachipato,3,259,3,0,8,9,5,2,2,126,51,41,5,2,19,6,10,4,2,5,3,4,0,12,12,14,0,4,4,1,0,1.04,0.0,1.04,2.78,1.74,0.69,6.6,0.69,1.74,4.17,0.0,1.39,1.39,80.4,40.0,31.6,40.0,75.0,46.2,0.0,37.5,112.5
818816,Jean Meneses,Deportes Limache,11,963,4,7,13,11,35,10,1,658,440,347,37,23,33,12,35,17,8,7,11,15,3,78,53,61,0,8,18,2,0,0.37,0.65,1.03,1.21,3.27,0.93,3.08,0.75,0.65,7.29,0.0,0.75,1.68,78.9,62.2,36.4,48.6,73.3,46.5,4.7,30.8,84.6
906110,Diego Valencia,Universidad Católica,5,88,0,1,1,0,1,1,0,39,16,8,1,0,2,0,2,1,0,2,1,2,5,0,10,7,0,0,2,0,0,0.0,1.02,1.02,1.02,1.02,1.02,2.05,0.0,2.05,0.0,0.0,0.0,2.05,50.0,0.0,0.0,50.0,50.0,58.8,41.7,0.0,0.0
1183778,Daniel Barrea,Universidad de Concepción,2,96,1,0,2,3,0,0,0,41,20,14,0,0,1,0,7,4,1,0,0,1,1,5,7,16,0,1,1,0,0,0.94,0.0,0.94,1.88,0.0,0.0,0.94,0.94,0.0,4.69,0.0,0.94,0.94,70.0,,0.0,57.1,0.0,30.4,5.9,50.0,150.0
581780,Javier Correa,Colo-Colo,8,381,4,0,23,16,4,0,1,163,72,40,6,2,0,0,16,8,2,2,4,5,10,10,24,38,0,1,1,5,0,0.94,0.0,0.94,5.43,0.94,0.0,0.0,0.47,0.47,2.36,0.0,0.24,0.24,55.6,33.3,,50.0,80.0,38.7,20.8,17.4,69.6
923802,Thiago Vecino,O'Higgins,10,386,4,0,12,10,3,0,0,143,86,60,5,3,0,0,4,2,2,0,0,1,14,11,19,48,0,8,3,0,0,0.93,0.0,0.93,2.8,0.7,0.0,0.0,0.47,0.0,2.56,0.0,1.87,0.7,69.8,60.0,,50.0,0.0,28.4,22.6,33.3,83.3
1411686,Martín Maturana,O'Higgins,6,206,1,1,3,2,3,1,0,138,101,76,8,2,1,0,5,1,0,4,3,4,1,5,8,15,1,2,2,0,0,0.44,0.44,0.87,1.31,1.31,0.44,0.44,0.0,1.75,2.18,0.0,0.87,0.87,75.2,25.0,0.0,20.0,75.0,34.8,6.2,33.3,66.7
340455,Claudio Aquino,Colo-Colo,10,522,2,3,17,9,14,6,0,485,351,275,33,22,22,6,15,6,2,0,4,5,2,34,23,32,0,4,10,1,0,0.34,0.52,0.86,2.93,2.41,1.03,3.79,0.34,0.0,5.86,0.0,0.69,1.72,78.3,66.7,27.3,40.0,80.0,41.8,5.9,11.8,52.9
