player_id,player,team,partidos,minutos,gf_on,ga_on,pm,pm_per90
1197239,Marcelo Flores,Deportes Limache,11,947.0,24,9,15,1.43
874853,Ramón Martínez,Deportes Limache,11,972.0,25,10,15,1.39
875564,Augusto Aguirre,Deportes Limache,11,990.0,25,10,15,1.36
818816,Jean Meneses,Deportes Limache,11,964.0,24,9,15,1.4
925992,Daniel Castro,Deportes Limache,11,956.0,23,9,14,1.32
980882,Yerko González,Deportes Limache,11,982.0,24,10,14,1.28
863124,Misael Llantén,Deportes Limache,10,316.0,13,1,12,3.42
874123,Matías Bórquez,Deportes Limache,7,630.0,16,7,9,1.29
33829,Alfonso Parot,Deportes Limache,7,606.0,16,7,9,1.34
871813,Marcos Arturia,Deportes Limache,11,207.0,8,0,8,3.48
845174,Mario Briceño,Huachipato,8,278.0,10,3,7,2.27
988084,Gonzalo Sosa,Deportes Limache,11,833.0,17,10,7,0.76
1117091,Nelson Guillermo Guaiquil,Huachipato,4,352.0,9,3,6,1.53
340455,Claudio Aquino,Colo-Colo,10,512.0,6,0,6,1.05
1482408,Felipe Faúndez,O'Higgins,9,733.0,14,8,6,0.74
1199394,Axel Alfonzo,Deportes Limache,8,403.0,10,4,6,1.34
924180,Claudio González,Deportes Limache,4,360.0,9,3,6,1.5
1482395,Christian Bravo,Huachipato,4,360.0,9,3,6,1.5
995388,Clemente Montes,Universidad Católica,7,468.0,14,8,6,1.15
983528,Francisco González,O'Higgins,11,793.0,15,9,6,0.68
1801194,Vicente Álvarez,Deportes Limache,7,258.0,7,1,6,2.09
805183,Gabriel Castellón,Universidad de Chile,11,990.0,10,5,5,0.45
324937,Cristián Cuevas,Universidad Católica,10,859.0,18,13,5,0.52
247055,Nicolás Vargas,Huachipato,10,861.0,16,11,5,0.52
1177211,Felipe Ogaz,O'Higgins,10,877.0,15,10,5,0.51
828952,Fernando Zampedri,Universidad Católica,11,981.0,21,16,5,0.46
1176822,Diego Ulloa,Colo-Colo,10,830.0,9,4,5,0.54
906105,Maximiliano Guerrero,Universidad de Chile,11,721.0,8,3,5,0.62
986599,Joaquín Montecinos,Deportes Limache,11,577.0,13,8,5,0.78
1087387,Marcelo Morales,Universidad de Chile,7,524.0,7,2,5,0.86
1482399,Lucas Velásquez,Huachipato,9,650.0,12,7,5,0.69
831242,Omar Carabalí,O'Higgins,10,900.0,15,10,5,0.5
844183,Juan Leiva,O'Higgins,10,757.0,12,7,5,0.59
818897,Fabián Hormazábal,Universidad de Chile,11,982.0,10,5,5,0.46
973992,Diego Céspedes,Ñublense,10,484.0,6,2,4,0.74
986598,Joaquín Gutiérrez,Deportes La Serena,10,697.0,12,8,4,0.52
1016653,Vicente Bernedo,Universidad Católica,11,990.0,21,17,4,0.36
844224,Tomás Alarcón,Colo-Colo,10,812.0,10,6,4,0.44
925337,Javier Altamirano,Universidad de Chile,11,734.0,8,4,4,0.49
1022259,Jeyson Rojas,Colo-Colo,10,834.0,7,3,4,0.43
1125514,Carlos Morales,Deportes Limache,6,96.0,4,0,4,3.75
589542,Israel Poblete,Universidad de Chile,11,784.0,8,4,4,0.46
789979,Matías Zaldivia,Universidad de Chile,10,900.0,9,5,4,0.4
2184978,Lucas Barrera,Universidad de Chile,4,234.0,4,0,4,1.54
129209,Cristian Palacios,Everton de Viña del Mar,8,502.0,8,4,4,0.72
1518443,Franco Rami,Ñublense,11,348.0,5,1,4,1.03
849177,Arnaldo Castillo,O'Higgins,11,656.0,10,6,4,0.55
831012,Nicolás Ramírez,Universidad de Chile,11,851.0,9,5,4,0.42
819088,Branco Ampuero,Universidad Católica,11,976.0,21,17,4,0.37
339699,Luis Pavez Munoz,O'Higgins,7,569.0,9,5,4,0.63
1981780,Nicolás L'Huiller,Universidad Católica,3,138.0,7,3,4,2.61
1017455,Ezequiel Cañete,Huachipato,10,477.0,10,7,3,0.57
792585,Maximiliano Romero,Colo-Colo,11,855.0,8,5,3,0.32
323439,Lionel Altamirano,Huachipato,11,735.0,12,9,3,0.37
339891,Diego Oyarzún,Everton de Viña del Mar,9,810.0,9,6,3,0.33
1643443,Nicolás Johansen,Coquimbo Unido,10,488.0,9,6,3,0.55
1997136,Yastin Cuevas,Colo-Colo,8,97.0,3,0,3,2.78
2038201,José Movillo,O'Higgins,3,189.0,5,2,3,1.43
1064150,Nicolás Meza,Palestino,9,366.0,6,3,3,0.74
1111544,Daniel Gutiérrez,Unión La Calera,10,900.0,11,8,3,0.3
932866,Justo Giani,Universidad Católica,11,958.0,20,17,3,0.28
33943,Fernando Meza,Palestino,7,507.0,9,6,3,0.53
986496,Daniel González,Universidad Católica,3,215.0,8,5,3,1.26
974009,Sebastián Galani,Coquimbo Unido,9,716.0,11,8,3,0.38
36995,Rafael Caroca,Huachipato,11,990.0,16,13,3,0.27
973560,Matías Palavecino,Universidad Católica,11,745.0,17,14,3,0.36
37006,Eduardo Vargas,Universidad de Chile,9,654.0,8,5,3,0.41
1118269,Ignacio Tapia,Ñublense,7,319.0,4,1,3,0.85
1190022,Joaquín Soto,Unión La Calera,11,586.0,8,5,3,0.46
818974,César Pinares,Deportes Limache,8,550.0,11,8,3,0.49
986626,Jovany Campusano,Ñublense,10,886.0,9,6,3,0.3
990283,Miguel Brizuela,O'Higgins,7,621.0,9,6,3,0.43
1014795,Jonathan Villagra,Colo-Colo,11,981.0,10,7,3,0.28
1411686,Martín Maturana,O'Higgins,6,206.0,7,4,3,1.31
1482412,Ignacio Vásquez,Universidad de Chile,10,343.0,3,0,3,0.79
947963,Vicente Fernández,Everton de Viña del Mar,8,554.0,7,5,2,0.32
18342,Arturo Vidal,Colo-Colo,10,774.0,7,5,2,0.23
931341,César Munder,Palestino,7,488.0,8,6,2,0.37
965967,Juan Manuel Requena,Unión La Calera,9,800.0,9,7,2,0.22
359024,Juan Martín Lucero,Universidad de Chile,7,456.0,4,2,2,0.39
1523685,Francisco Jose Pozzo,Unión La Calera,10,506.0,7,5,2,0.36
1980388,Gabriel Maureira,Colo-Colo,3,200.0,4,2,2,0.9
