player_in_id,player_in,team,entradas,pm_after_avg,pm_after_sum
249373.0,Claudio Sepúlveda,Huachipato,1,2.0,2
2184978.0,Lucas Barrera,Universidad de Chile,2,2.0,4
117430.0,Eugenio Mena,Universidad Católica,3,1.67,5
323439.0,Lionel Altamirano,Huachipato,3,1.33,4
845174.0,Mario Briceño,Huachipato,7,1.29,9
1108721.0,Maicol León,Huachipato,6,1.17,7
1022259.0,Jeyson Rojas,Colo-Colo,1,1.0,1
947963.0,Vicente Fernández,Everton de Viña del Mar,1,1.0,1
951278.0,Manuel Rivera,Ñublense,1,1.0,1
931341.0,César Munder,Palestino,1,1.0,1
851968.0,Cris Martínez,Huachipato,2,1.0,2
588796.0,Jimmy Martínez,Universidad Católica,4,1.0,4
805170.0,Matías Fernández,Colo-Colo,1,1.0,1
1106831.0,José Ignacio Castro,Huachipato,2,1.0,2
2331086.0,Jhon Cortes,Universidad de Chile,1,1.0,1
1190022.0,Joaquín Soto,Unión La Calera,3,1.0,3
386220.0,Tomás Asta-Buruaga,Universidad Católica,1,1.0,1
340455.0,Claudio Aquino,Colo-Colo,5,1.0,5
1473023.0,Diego Corral,Universidad Católica,1,1.0,1
1002939.0,Lucas Assadi,Universidad de Chile,2,1.0,2
1002936.0,Cristian Riquelme,Colo-Colo,1,1.0,1
284729.0,Fernando Zuqui,Universidad Católica,2,1.0,2
324937.0,Cristián Cuevas,Universidad Católica,1,1.0,1
1396682.0,Lucas Molina,Ñublense,1,1.0,1
1997136.0,Yastin Cuevas,Colo-Colo,8,0.88,7
973993.0,Erick Wiemberg,Colo-Colo,4,0.75,3
1118269.0,Ignacio Tapia,Ñublense,4,0.75,3
1482420.0,Francisco Marchant,Colo-Colo,7,0.71,5
863124.0,Misael Llantén,Deportes Limache,7,0.71,5
1801194.0,Vicente Álvarez,Deportes Limache,3,0.67,2
818693.0,Bernardo Cerezo,Universidad Católica,3,0.67,2
973992.0,Diego Céspedes,Ñublense,6,0.67,4
1125913.0,Diego Sanhueza,Ñublense,6,0.67,4
1125514.0,Carlos Morales,Deportes Limache,6,0.67,4
1518443.0,Franco Rami,Ñublense,10,0.6,6
906110.0,Diego Valencia,Universidad Católica,5,0.6,3
889502.0,Álvaro Madrid,Colo-Colo,4,0.5,2
951277.0,Bayron Oyarzo,Unión La Calera,2,0.5,1
973560.0,Matías Palavecino,Universidad Católica,2,0.5,1
1982597.0,Vicente Cárcamo,Universidad Católica,2,0.5,1
2058867.0,Sebastián Arancibia,Universidad Católica,2,0.5,1
33943.0,Fernando Meza,Palestino,2,0.5,1
819115.0,Jhojan Valencia,Universidad Católica,4,0.5,2
790010.0,Leonardo Valencia,Deportes Concepción,2,0.5,1
988146.0,Cristian Toro,Huachipato,2,0.5,1
995388.0,Clemente Montes,Universidad Católica,2,0.5,1
986676.0,Matías Plaza,Ñublense,4,0.5,2
871813.0,Marcos Arturia,Deportes Limache,10,0.5,5
991004.0,Mario Sandoval,Deportes Concepción,2,0.5,1
1017169.0,Javier Saldías,Unión La Calera,4,0.5,2
906106.0,Ignacio Mesías,Deportes Concepción,2,0.5,1
1601711.0,Leandro Hernández,Colo-Colo,7,0.43,3
988078.0,Harold Antiñirre,Huachipato,5,0.4,2
1119679.0,Lucas Soto,Everton de Viña del Mar,5,0.4,2
1177673.0,Kevin Altez,Huachipato,6,0.33,2
26480.0,Marcelo Díaz,Universidad de Chile,3,0.33,1
906102.0,Yerco Oyanedel,Universidad de Concepción,3,0.33,1
889500.0,Nicolás Fernández,Universidad de Chile,3,0.33,1
1864232.0,Nicolás Montiel,Everton de Viña del Mar,3,0.33,1
2121648.0,Martín Gómez,Universidad Católica,3,0.33,1
819072.0,Jorge Henríquez,Deportes Concepción,4,0.25,1
1473443.0,Diego Monreal,Audax Italiano,4,0.25,1
1411686.0,Martín Maturana,O'Higgins,4,0.25,1
1016766.0,Alfred Canales,Universidad Católica,4,0.25,1
1409361.0,Juan Francisco Rossel,Universidad Católica,4,0.25,1
1485094.0,Giovani Chiaverano,Audax Italiano,4,0.25,1
962130.0,Fernando Ovelar,Ñublense,8,0.25,2
312318.0,Brayan Véjar,Deportes Concepción,4,0.25,1
1388813.0,Agustín Arce,Universidad de Chile,4,0.25,1
852143.0,Luis Riveros,Coquimbo Unido,4,0.25,1
859990.0,Franco Troyansky,Audax Italiano,5,0.2,1
1920586.0,Mario Sandoval,Audax Italiano,5,0.2,1
1197415.0,Alex Valdés,Ñublense,6,0.17,1
1017455.0,Ezequiel Cañete,Huachipato,6,0.17,1
981333.0,Dylan Glaby,Coquimbo Unido,6,0.17,1
822449.0,Camilo Moya,Unión La Calera,6,0.17,1
1440662.0,Favian Loyola,Audax Italiano,7,0.14,1
147570.0,Diego Rubio,Deportes La Serena,1,0.0,0
1981750.0,Daniel Saavedra,Ñublense,1,0.0,0
844183.0,Juan Leiva,O'Higgins,1,0.0,0
831012.0,Nicolás Ramírez,Universidad de Chile,1,0.0,0
829288.0,Salvador Cordero,Coquimbo Unido,5,0.0,0
849177.0,Arnaldo Castillo,O'Higgins,3,0.0,0
582220.0,Nicolás Stefanelli,Deportes La Serena,5,0.0,0
846140.0,Felipe Villagrán,Everton de Viña del Mar,1,0.0,0
2057322.0,Vicente Ramírez,Universidad de Chile,1,0.0,0
1985127.0,Ian Alegría,Palestino,1,0.0,0
