date,round_num,local_team,away_team,p_over_15,pred_over_15,target_over_15,p_over_25,pred_over_25,target_over_25,p_btts,pred_btts,target_btts
2026-04-25,34,Arsenal,Newcastle United,0.7574008359063856,1,0.0,0.6215067504658958,1,0.0,0.6575819298344285,1,0.0
2026-05-02,35,Arsenal,Fulham,0.7357458754237447,1,,0.5207379637076445,1,,0.5533752271630297,1,
2026-05-17,37,Arsenal,Burnley,0.8955197475714446,1,,0.4725590217810471,0,,0.552374140354371,1,
2026-05-03,35,Aston Villa,Tottenham Hotspur,0.6681480071677338,1,,0.3565224161700388,0,,0.3836017343254155,0,
2026-05-17,37,Aston Villa,Liverpool,0.37967543349413035,0,,0.47555456607513547,0,,0.4931646984662045,0,
2026-04-22,34,Bournemouth,Leeds United,0.5093602953065213,1,1.0,0.4280464208609391,0,1.0,0.5442834096917644,1,1.0
2026-05-03,35,Bournemouth,Crystal Palace,0.8446397535970385,1,,0.48582393970540905,0,,0.6237645948842664,1,
2026-05-17,37,Bournemouth,Manchester City,0.8208192235581628,1,,0.5355993186859414,1,,0.5875500637526674,1,
2026-05-02,35,Brentford,West Ham United,0.197974366551268,0,,0.3922912200653874,0,,0.39758950193511544,0,
2026-05-17,37,Brentford,Crystal Palace,0.7035795404407629,1,,0.48674729830093444,0,,0.5176888349466171,1,
2026-04-21,34,Brighton,Chelsea,0.8272660956321761,1,1.0,0.6788314077826579,1,1.0,0.6430923642634555,1,0.0
2026-05-09,36,Brighton,Wolves,0.7992170339399117,1,,0.5050695254593297,1,,0.49051115148216073,0,
2026-05-24,38,Brighton,Manchester Utd,0.853117803401698,1,,0.4892452377184142,0,,0.52729329617242,1,
2026-04-22,34,Burnley,Manchester City,0.6536350760483733,1,0.0,0.5020986095720354,1,0.0,0.4199653662918214,0,0.0
2026-05-10,36,Burnley,Aston Villa,0.5133764331122258,1,,0.4877711368970455,0,,0.4522513325888032,0,
2026-05-24,38,Burnley,Wolves,0.6445299598598268,1,,0.39986238617730013,0,,0.4535134212168934,0,
2026-05-04,35,Chelsea,Nottingham Forest,0.350774584105422,0,,0.4148800402607921,0,,0.5590365032427318,1,
2026-05-17,37,Chelsea,Tottenham Hotspur,0.7776594730110264,1,,0.48906010803995625,0,,0.542101341689583,1,
2026-05-10,36,Crystal Palace,Everton,0.1568488224428895,0,,0.49014312767102136,0,,0.5051484120143465,1,
2026-05-24,38,Crystal Palace,Arsenal,0.22763437788532578,0,,0.6074241106716479,1,,0.5150380851269487,1,
2026-05-04,35,Everton,Manchester City,0.7887891791672942,1,,0.5433586947068368,1,,0.42920107157041315,0,
2026-05-17,37,Everton,Sunderland,0.6143494290377376,1,,0.45153088430696986,0,,0.46096336945802374,0,
2026-04-25,34,Fulham,Aston Villa,0.7921341543228876,1,0.0,0.552556292511664,1,0.0,0.5513111249894936,1,0.0
2026-05-09,36,Fulham,Bournemouth,0.7919684842220656,1,,0.5814779694897753,1,,0.5800739408485608,1,
2026-05-24,38,Fulham,Newcastle United,0.6554394281908485,1,,0.5107721365570359,1,,0.5166041575867037,1,
2026-05-01,35,Leeds United,Burnley,0.8825017054987419,1,,0.5451209063118159,1,,0.6124134569284828,1,
2026-05-17,37,Leeds United,Brighton,0.5944472341571289,1,,0.5066100746428279,1,,0.5257245609190461,1,
2026-04-25,34,Liverpool,Crystal Palace,0.9067111282178836,1,1.0,0.4753363639696744,0,1.0,0.5163137400006496,1,1.0
2026-05-09,36,Liverpool,Chelsea,0.6406900520069579,1,,0.5098273087794385,1,,0.5285518209699954,1,
2026-05-24,38,Liverpool,Brentford,0.9448496649995418,1,,0.42638376349264717,0,,0.49816985374343914,0,
2026-05-09,36,Manchester City,Brentford,0.8373068485350822,1,,0.45003734500915404,0,,0.4747112637065556,0,
2026-05-22,31,Manchester City,Crystal Palace,0.8367653347441999,1,,0.4636034195845643,0,,0.5380269527456306,1,
2026-05-24,38,Manchester City,Aston Villa,0.5317741637792843,1,,0.5079539254255165,1,,0.5099885085532063,1,
2026-04-27,34,Manchester Utd,Brentford,0.8408317448130214,1,,0.40232522046278835,0,,0.4366214619235599,0,
2026-05-03,35,Manchester Utd,Liverpool,0.25029822272725816,0,,0.5177552918627907,1,,0.5136131337522669,1,
2026-05-17,37,Manchester Utd,Nottingham Forest,0.38250650975946926,0,,0.4331281322597032,0,,0.5012737245828668,1,
2026-05-02,35,Newcastle United,Brighton,0.4619105236205251,0,,0.4183777568470923,0,,0.4560167805757719,0,
2026-05-17,37,Newcastle United,West Ham United,0.6217059110842391,1,,0.4114594514431259,0,,0.4506703831448539,0,
2026-05-10,36,Nottingham Forest,Newcastle United,0.6230924007705066,1,,0.5672423776926774,1,,0.5602510228254103,1,
2026-05-24,38,Nottingham Forest,Bournemouth,0.7258027316152127,1,,0.5487986217239301,1,,0.569877693585141,1,
2026-04-24,34,Sunderland,Nottingham Forest,0.259885395867532,0,1.0,0.3714654348664653,0,1.0,0.42980167188118645,0,0.0
2026-05-09,36,Sunderland,Manchester Utd,0.6851489352624898,1,,0.4022119783480804,0,,0.5204415942960519,1,
2026-05-24,38,Sunderland,Chelsea,0.56416546704497,1,,0.5300934191218085,1,,0.5179187371182371,1,
2026-05-11,36,Tottenham Hotspur,Leeds United,0.582423982424673,1,,0.40829433862197095,0,,0.4836885532767546,0,
2026-05-24,38,Tottenham Hotspur,Everton,0.6063224630394435,1,,0.4409562803793618,0,,0.43240030860965517,0,
2026-04-25,34,West Ham United,Everton,0.4783655503452876,0,1.0,0.4134115590635363,0,1.0,0.44784939008349134,0,1.0
2026-05-10,36,West Ham United,Arsenal,0.4206804689866492,0,,0.5907389534473088,1,,0.44418074570976307,0,
2026-05-24,38,West Ham United,Leeds United,0.5254956809237099,1,,0.4410060809551745,0,,0.4702369353324562,0,
2026-04-25,34,Wolves,Tottenham Hotspur,0.594443853399512,1,0.0,0.47894885348450544,0,0.0,0.3856440109879345,0,0.0
2026-05-02,35,Wolves,Sunderland,0.5676192957323335,1,,0.6221209669933064,1,,0.5309228922994599,1,
2026-05-17,37,Wolves,Fulham,0.3659299158813698,0,,0.480422870894876,0,,0.424058083056401,0,
