date,round_num,local_team,away_team,bookmaker,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_home_or_away,decimal_draw_or_away
2026-04-21,34,Brighton,Chelsea,,,,,,,
2026-04-22,34,Bournemouth,Leeds United,,,,,,,
2026-04-22,34,Burnley,Manchester City,,,,,,,
2026-04-24,34,Sunderland,Nottingham Forest,,,,,,,
2026-04-25,34,Arsenal,Newcastle United,,,,,,,
2026-04-25,34,Fulham,Aston Villa,,,,,,,
2026-04-25,34,Liverpool,Crystal Palace,,,,,,,
2026-04-25,34,West Ham United,Everton,,,,,,,
2026-04-25,34,Wolves,Tottenham Hotspur,,,,,,,
2026-04-27,34,Manchester Utd,Brentford,,,,,,,
