source_url,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_home_or_away,decimal_draw_or_away,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,decimal_btts_yes,decimal_btts_no
https://www.cuotasahora.com/football/h2h/levante-ud-G8FL0ShI/rcd-espanyol-QFfPdh1J/#SKkThKvn,Espanyol,Levante,2.21,3.34,3.81,1.33,1.38,1.75,1.35,3.4,2.16,1.81,1.9,1.95
https://www.cuotasahora.com/football/h2h/girona-fc-nNNpcUSL/rcd-mallorca-4jDQxrbf/#AP0bL0K6,Girona,Mallorca,2.1,3.56,3.86,1.33,1.34,1.82,1.25,4.0,1.87,2.08,1.75,2.2
https://www.cuotasahora.com/football/h2h/levante-ud-G8FL0ShI/villarreal-cf-lUatW5jE/#SGaHyM4m,Villarreal,Levante,1.75,4.4,4.63,1.24,1.25,2.2,1.18,5.0,1.65,2.45,1.65,2.32
https://www.cuotasahora.com/football/h2h/atletico-madrid-jaarqpLQ/valencia-cf-CQeaytrD/#GxWbJvkJ,Valencia,Atlético de Madrid,2.03,3.86,3.78,1.31,1.3,1.92,1.27,4.0,1.89,2.05,1.75,2.15
https://www.cuotasahora.com/football/h2h/alaves-hxt57t2q/athletic-club-IP5zl0cJ/#O8xH8Nz1,Alavés,Athletic Club,2.75,3.64,2.68,1.53,1.36,1.52,1.35,3.5,2.08,1.87,1.8,2.0
https://www.cuotasahora.com/football/h2h/ca-osasuna-ETdxjU8a/fc-barcelona-SKbpVP5K/#rqOpsrsQ,Osasuna,Barcelona,4.47,4.42,1.77,,,,1.15,5.5,1.5,2.63,1.55,2.52
https://www.cuotasahora.com/football/h2h/celta-vigo-8pvUZFhf/elche-cf-4jl02tPF/#A1IBU4cK,Celta de Vigo,Elche,1.85,3.91,4.57,1.25,1.3,2.06,1.25,4.33,1.79,2.19,1.7,2.15
https://www.cuotasahora.com/football/h2h/getafe-cf-dboeiWOt/rayo-vallecano-8bcjFy6O/#xC2jNMkf,Getafe,Rayo Vallecano,2.15,3.42,3.95,1.3,1.36,1.8,1.6,2.57,2.63,1.5,2.25,1.65
https://www.cuotasahora.com/football/h2h/real-betis-vJbTeCGP/real-oviedo-SzYzw34K/#U5uP615D,Real Betis,Real Oviedo,1.66,4.22,5.74,1.17,1.27,2.4,1.3,3.75,1.95,1.99,1.95,2.0
https://www.cuotasahora.com/football/h2h/rcd-espanyol-QFfPdh1J/real-madrid-W8mj7MDD/#tp9sPrLs,Espanyol,Real Madrid,4.32,4.22,1.83,,,,1.17,5.1,1.53,2.5,1.55,2.52
