source_url,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_home_or_away,decimal_draw_or_away,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,decimal_btts_yes,decimal_btts_no
https://www.cuotasahora.com/football/h2h/burnley-z3dmTMMO/leeds-tUxUbLR2/#EBUD9Jdk,Leeds United,Burnley,1.47,4.83,8.0,1.11,1.22,2.88,1.25,4.33,1.75,2.25,2.0,1.91
https://www.cuotasahora.com/football/h2h/arsenal-hA1Zm19f/fulham-69ZiU2Om/#6sw2IgOM,Arsenal,Fulham,1.48,4.77,7.6,1.11,1.23,2.85,1.25,4.0,1.84,2.13,2.05,1.85
https://www.cuotasahora.com/football/h2h/brentford-xYe7DwID/west-ham-Cxq57r8g/#EmnRINZ2,Brentford,West Ham,2.08,3.8,3.78,1.33,1.31,1.86,1.22,4.75,1.69,2.36,1.6,2.48
https://www.cuotasahora.com/football/h2h/brighton-2XrRecc3/newcastle-p6ahwuwJ/#tO58V0J8,Newcastle United,Brighton,2.65,3.7,2.73,1.53,1.33,1.55,1.22,4.6,1.74,2.3,1.6,2.5
https://www.cuotasahora.com/football/h2h/sunderland-WSzc94ws/wolves-j3Azpf5d/#xjaHTvlL,Wolves,Sunderland,3.23,3.43,2.41,1.64,1.36,1.4,1.35,3.4,2.17,1.81,1.91,2.0
https://www.cuotasahora.com/football/h2h/aston-villa-W00wmLO0/tottenham-UDg08Ohm/#jFEYCXop,Aston Villa,Tottenham,2.32,3.82,3.1,1.42,1.31,1.7,1.22,4.33,1.75,2.25,1.6,2.4
https://www.cuotasahora.com/football/h2h/bournemouth-OtpNdwrc/crystal-palace-AovF1Mia/#buItBBGd,Bournemouth,Crystal Palace,1.73,4.32,4.88,1.22,1.26,2.28,1.2,4.6,1.7,2.34,1.67,2.25
https://www.cuotasahora.com/football/h2h/liverpool-lId4TMwf/manchester-utd-ppjDR086/#zRIM7cR1,Manchester United,Liverpool,2.47,3.88,2.84,1.49,1.3,1.62,,,,,1.45,2.82
https://www.cuotasahora.com/football/h2h/chelsea-4fGZN2oK/nottingham-UsushcZr/#n1pZG14F,Chelsea,Nottingham Forest,1.75,3.95,4.75,1.22,1.29,2.16,1.22,4.33,1.68,2.2,1.7,2.2
https://www.cuotasahora.com/football/h2h/everton-KluSTr9s/manchester-city-Wtn9Stg0/,Everton,Manchester City,6.7,4.95,1.48,2.8,1.22,1.13,1.22,4.6,1.62,2.3,1.85,2.0
