source_url,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_home_or_away,decimal_draw_or_away,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,decimal_btts_yes,decimal_btts_no
https://www.cuotasahora.com/football/h2h/atalanta-8C9JjMXu/cagliari-SCGVmKHb/inplay-odds/#xIBAKEb4,Cagliari,Atalanta,5.12,3.84,1.75,2.15,1.29,1.2,1.3,3.75,1.97,1.91,1.95,2.0
https://www.cuotasahora.com/football/h2h/lazio-URcSl02h/udinese-rXw8YKDE/#MN8dBALj,Lazio,Udinese,2.22,3.25,3.9,1.3,1.39,1.75,1.4,3.0,2.34,1.7,2.05,1.83
https://www.cuotasahora.com/football/h2h/lecce-G8lYsMgU/pisa-roasMsOT/#KGDczIfJ,Pisa,Lecce,3.13,3.11,2.67,1.54,1.42,1.42,,,,,2.15,1.83
https://www.cuotasahora.com/football/h2h/torino-MZFZnvX4/udinese-rXw8YKDE/#xhpOjwu0,Udinese,Torino,2.29,3.36,3.56,1.34,1.37,1.7,1.4,3.0,2.27,1.74,,
https://www.cuotasahora.com/football/h2h/como-ttyLthOA/napoli-69Dxbc61/#O8j1bUt9,Como,Nápoles,2.33,3.42,3.4,,,,1.4,3.2,2.22,1.77,1.95,1.91
https://www.cuotasahora.com/football/h2h/atalanta-8C9JjMXu/genoa-d0PJxeie/#zmA6xmKk,Atalanta,Genoa,1.68,4.25,5.5,,,,1.3,4.0,1.88,2.07,1.95,1.95
https://www.cuotasahora.com/football/h2h/bologna-0M9xNN8N/cagliari-SCGVmKHb/#rDDEzRl2,Bolonia,Cagliari,1.79,3.83,5.11,,,,1.37,3.2,2.19,1.79,,
https://www.cuotasahora.com/football/h2h/ac-milan-8Sa8HInO/sassuolo-QDdvI0zl/#URtGhaAm,Sassuolo,AC Milan,,,,2.25,1.26,1.23,1.22,4.33,1.77,2.22,,
https://www.cuotasahora.com/football/h2h/juventus-C06aJvIB/verona-rJVAIaHo/#OlKlxvQ6,Juventus,Verona,1.26,6.6,13.7,,,,,,,,2.45,1.67
https://www.cuotasahora.com/football/h2h/inter-Iw7eKK25/parma-6DxlaxHN/#jyMtv0ef,Inter,Parma,1.28,6.81,12.0,1.06,1.14,4.14,1.17,5.1,1.53,2.5,2.05,1.8
