source_url,date,time,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_draw_or_away,decimal_home_or_away,decimal_btts_yes,decimal_btts_no,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,season_id,season_name
https://www.sofascore.com/rb-leipzig-fc-bayern-munchen/xdbskCo,2025-08-22,15:30,FC Bayern München,RB Leipzig,1.22,7.0,11.0,1.05,4.0,1.1,1.5333,2.375,1.0625,10.0,1.2222,4.3333,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-tsg-hoffenheim/ubbsGdb,2025-08-23,10:30,Bayer 04 Leverkusen,TSG Hoffenheim,1.73,4.2,4.1,1.2222,2.1,1.2222,1.5714,2.25,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/vfb-stuttgart-1-fc-union-berlin/XabsCdb,2025-08-23,10:30,1. FC Union Berlin,VfB Stuttgart,4.1,3.75,1.83,1.95,1.2222,1.2222,1.6154,2.2,1.2,4.5,1.6154,2.3,77333,Bundesliga 25/26
https://www.sofascore.com/eintracht-frankfurt-sv-werder-bremen/Jabszdb,2025-08-23,10:30,Eintracht Frankfurt,SV Werder Bremen,1.53,4.75,5.25,1.1818,2.25,1.1818,1.5714,2.25,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/fc-augsburg-sc-freiburg/Nabsacb,2025-08-23,10:30,SC Freiburg,FC Augsburg,1.91,3.6,3.9,1.25,1.8333,1.2857,1.8,1.95,1.3,3.5,1.9091,1.9091,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-heidenheim-vfl-wolfsburg/zabsKrc,2025-08-23,10:30,1. FC Heidenheim,VfL Wolfsburg,2.8,3.3,2.55,1.5,1.4,1.3,1.6154,2.2,1.25,4.0,1.8,2.0,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-dortmund-fc-st-pauli/Babsydb,2025-08-23,13:30,FC St. Pauli,Borussia Dortmund,4.2,3.6,1.9,1.9091,1.2222,1.2857,1.7,2.05,1.25,4.0,1.8,2.0,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-koln-1-fsv-mainz-05/gbbswdb,2025-08-24,10:30,1. FSV Mainz 05,1. FC Köln,1.91,3.6,3.8,1.25,1.8333,1.2857,1.7,2.05,1.25,4.0,1.8,2.0,77333,Bundesliga 25/26
https://www.sofascore.com/hamburger-sv-borussia-mgladbach/CabsBdb,2025-08-24,12:30,Borussia M'gladbach,Hamburger SV,1.85,3.9,3.8,1.25,1.9091,1.25,1.5333,2.375,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/hamburger-sv-fc-st-pauli/BabsBdb,2025-08-29,15:30,Hamburger SV,FC St. Pauli,2.45,3.2,3.0,1.3636,1.5333,1.3,1.75,2.0,1.3,3.5,2.0,1.8,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-sv-werder-bremen/JabsGdb,2025-08-30,10:30,SV Werder Bremen,Bayer 04 Leverkusen,3.6,3.9,1.91,1.8333,1.2857,1.25,1.4444,2.625,1.1429,5.5,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-1-fc-heidenheim/KrcskCo,2025-08-30,10:30,RB Leipzig,1. FC Heidenheim,1.48,4.75,5.75,1.125,2.625,1.1818,1.6667,2.1,1.1429,5.5,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/eintracht-frankfurt-tsg-hoffenheim/ubbszdb,2025-08-30,10:30,TSG Hoffenheim,Eintracht Frankfurt,2.6,3.8,2.45,1.5333,1.5,1.25,1.4,2.75,1.125,6.0,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/vfb-stuttgart-borussia-mgladbach/CabsCdb,2025-08-30,10:30,VfB Stuttgart,Borussia M'gladbach,1.57,4.5,5.0,1.1667,2.3,1.1818,1.5,2.5,1.1111,6.5,1.4,3.0,77333,Bundesliga 25/26
https://www.sofascore.com/fc-bayern-munchen-fc-augsburg/acbsxdb,2025-08-30,13:30,FC Augsburg,FC Bayern München,9.0,6.0,1.29,3.4,1.0833,1.1429,1.75,2.0,1.125,6.0,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/1-fsv-mainz-05-vfl-wolfsburg/zabsgbb,2025-08-31,10:30,VfL Wolfsburg,1. FSV Mainz 05,2.15,3.5,3.2,1.3333,1.7,1.2857,1.6154,2.2,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-dortmund-1-fc-union-berlin/Xabsydb,2025-08-31,12:30,Borussia Dortmund,1. FC Union Berlin,1.4,4.75,6.5,1.1111,2.75,1.1818,1.8,1.95,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-koln-sc-freiburg/Nabswdb,2025-08-31,14:30,1. FC Köln,SC Freiburg,2.55,3.3,2.8,1.4444,1.5,1.3333,1.6667,2.1,1.2857,3.75,1.9091,1.9091,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-eintracht-frankfurt/zdbsGdb,2025-09-12,15:30,Bayer 04 Leverkusen,Eintracht Frankfurt,2.15,3.6,3.1,1.3,1.8,1.25,1.5,2.5,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
