source_url,date,time,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_draw_or_away,decimal_home_or_away,decimal_btts_yes,decimal_btts_no,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,season_id,season_name
https://www.sofascore.com/sassuolo-napoli/oebsTfb,2025-08-23,13:30,Sassuolo,SSC Napoli,6.0,3.75,1.62,2.2,1.1429,1.2857,1.95,1.8,1.3,3.5,1.9091,1.9091,76457,Serie A 25/26
https://www.sofascore.com/genoa-lecce/Odbsneb,2025-08-23,13:30,Genoa,Lecce,1.75,3.4,5.25,1.1667,2.0,1.3,2.25,1.5714,1.5,2.625,2.5,1.5333,76457,Serie A 25/26
https://www.sofascore.com/cremonese-milan/Rdbslfb,2025-08-23,15:45,Milan,Cremonese,1.36,5.0,8.0,1.0714,3.25,1.1667,2.1,1.6667,1.2222,4.3333,1.7273,2.1,76457,Serie A 25/26
https://www.sofascore.com/roma-bologna/Kdbsceb,2025-08-23,15:45,AS Roma,Bologna,2.15,3.25,3.5,1.2857,1.6667,1.3636,1.95,1.8,1.4,3.0,2.2,1.6667,76457,Serie A 25/26
https://www.sofascore.com/como-lazio/Zdbseeb,2025-08-24,13:30,Como,Lazio,2.3,3.3,3.1,1.3636,1.5714,1.3333,1.7,2.05,1.2857,3.75,1.9091,1.9091,76457,Serie A 25/26
https://www.sofascore.com/cagliari-fiorentina/Tdbsueb,2025-08-24,13:30,Cagliari,Fiorentina,3.0,3.1,2.55,1.6667,1.3,1.3333,1.95,1.8,1.4,3.0,2.2,1.6667,76457,Serie A 25/26
https://www.sofascore.com/parma-juventus/MdbsPdb,2025-08-24,15:45,Juventus,Parma,1.42,4.5,7.5,1.0833,2.75,1.1818,2.25,1.5714,1.3333,3.4,2.0,1.8,76457,Serie A 25/26
https://www.sofascore.com/pisa-atalanta/LdbsMeb,2025-08-24,15:45,Atalanta,Pisa,1.42,4.75,7.0,1.1,2.75,1.1818,1.95,1.8,1.25,4.0,1.8,2.0,76457,Serie A 25/26
https://www.sofascore.com/hellas-verona-udinese/Vdbsbeb,2025-08-25,13:30,Udinese,Hellas Verona,1.95,3.2,4.3333,1.1818,1.8333,1.3636,2.2,1.6154,1.5,2.625,2.625,1.5,76457,Serie A 25/26
https://www.sofascore.com/inter-torino/WdbsXdb,2025-08-25,15:45,Inter,Torino,1.36,5.25,7.5,1.1,3.0,1.1667,1.95,1.8,1.2,4.5,1.6667,2.2,76457,Serie A 25/26
https://www.sofascore.com/sassuolo-cremonese/lfbsTfb,2025-08-29,13:30,Cremonese,Sassuolo,2.8,3.1,2.6,1.4444,1.4444,1.3333,1.8,1.95,1.3636,3.2,2.1,1.7273,76457,Serie A 25/26
https://www.sofascore.com/milan-lecce/OdbsRdb,2025-08-29,15:45,Lecce,Milan,6.25,3.6,1.57,2.3,1.1111,1.2857,2.1,1.6667,1.3636,3.2,2.1,1.7273,76457,Serie A 25/26
https://www.sofascore.com/parma-atalanta/LdbsPdb,2025-08-30,13:30,Parma,Atalanta,4.5,3.75,1.75,1.95,1.2,1.25,1.7,2.05,1.2222,4.3333,1.7273,2.1,76457,Serie A 25/26
https://www.sofascore.com/como-bologna/Kdbseeb,2025-08-30,13:30,Bologna,Como,2.88,3.1,2.63,1.4,1.5,1.3636,1.8,1.95,1.3636,3.2,2.1,1.7273,76457,Serie A 25/26
