target,market,feature
over_15,Over 1.5 goles,gf_rolling3_away
over_15,Over 1.5 goles,poss_rolling3_home
over_15,Over 1.5 goles,xg_rolling3_away
over_15,Over 1.5 goles,big_chances_scored_rolling3_away
over_15,Over 1.5 goles,diff_fouls_allowed_rolling3
over_15,Over 1.5 goles,passes_rolling3_home
over_15,Over 1.5 goles,passes_allowed_rolling3_home
over_15,Over 1.5 goles,pass_accuracy_pct_rolling3_home
over_15,Over 1.5 goles,red_cards_allowed_rolling3_away
over_15,Over 1.5 goles,diff_red_cards_allowed_rolling3
over_15,Over 1.5 goles,through_balls_rolling3_home
over_15,Over 1.5 goles,ground_duels_won_rolling3_home
over_15,Over 1.5 goles,successful_dribbles_rolling3_home
over_15,Over 1.5 goles,clearances_rolling3_home
over_15,Over 1.5 goles,goals_minus_xg_allowed_rolling3_home
over_15,Over 1.5 goles,poss_rolling5_home
over_15,Over 1.5 goles,sot_rolling5_home
over_15,Over 1.5 goles,xg_rolling5_home
over_15,Over 1.5 goles,xg_rolling5_away
over_15,Over 1.5 goles,big_chances_rolling5_home
over_15,Over 1.5 goles,big_chances_missed_rolling5_home
over_15,Over 1.5 goles,corner_kicks_allowed_rolling5_away
over_15,Over 1.5 goles,passes_rolling5_home
over_15,Over 1.5 goles,passes_allowed_rolling5_home
over_15,Over 1.5 goles,pass_accuracy_pct_rolling5_home
over_15,Over 1.5 goles,pass_accuracy_pct_rolling5_away
over_15,Over 1.5 goles,red_cards_allowed_rolling5_away
over_15,Over 1.5 goles,goalkeeper_saves_allowed_rolling5_home
over_15,Over 1.5 goles,through_balls_rolling5_home
over_15,Over 1.5 goles,interceptions_rolling5_home
over_15,Over 1.5 goles,clearances_rolling5_home
over_15,Over 1.5 goles,table_ppg_prev_home
over_15,Over 1.5 goles,table_gd_prev_home
over_15,Over 1.5 goles,table_rank_pct_prev_home
over_15,Over 1.5 goles,h2h_last10_away_goals_avg
over_15,Over 1.5 goles,h2h_last5_away_goals_avg
over_25,Over 2.5 goles,gf_rolling3_away
over_25,Over 2.5 goles,poss_rolling3_home
over_25,Over 2.5 goles,sot_rolling3_away
over_25,Over 2.5 goles,xg_rolling3_away
over_25,Over 2.5 goles,fouls_rolling3_away
over_25,Over 2.5 goles,passes_rolling3_home
over_25,Over 2.5 goles,pass_accuracy_pct_rolling3_home
over_25,Over 2.5 goles,aerial_duels_won_rolling3_home
over_25,Over 2.5 goles,gf_rolling5_away
over_25,Over 2.5 goles,poss_rolling5_home
over_25,Over 2.5 goles,sh_rolling5_home
over_25,Over 2.5 goles,sh_rolling5_away
over_25,Over 2.5 goles,sot_rolling5_home
over_25,Over 2.5 goles,sot_rolling5_away
over_25,Over 2.5 goles,xg_rolling5_home
over_25,Over 2.5 goles,xg_rolling5_away
over_25,Over 2.5 goles,big_chances_rolling5_home
over_25,Over 2.5 goles,big_chances_rolling5_away
over_25,Over 2.5 goles,big_chances_scored_rolling5_away
over_25,Over 2.5 goles,big_chances_missed_rolling5_home
over_25,Over 2.5 goles,fouls_rolling5_home
over_25,Over 2.5 goles,passes_rolling5_home
over_25,Over 2.5 goles,passes_allowed_rolling5_home
over_25,Over 2.5 goles,pass_accuracy_pct_rolling5_home
over_25,Over 2.5 goles,goalkeeper_saves_allowed_rolling5_home
over_25,Over 2.5 goles,shots_inside_box_rolling5_away
over_25,Over 2.5 goles,shots_outside_box_rolling5_home
