target,market,feature
over_15,Over 1.5 goles,gf_rolling3_home
over_15,Over 1.5 goles,sot_rolling3_home
over_15,Over 1.5 goles,big_chances_scored_allowed_rolling3_home
over_15,Over 1.5 goles,yellow_cards_allowed_rolling3_home
over_15,Over 1.5 goles,diff_yellow_cards_allowed_rolling3
over_15,Over 1.5 goles,red_cards_allowed_rolling3_away
over_15,Over 1.5 goles,diff_red_cards_allowed_rolling3
over_15,Over 1.5 goles,shots_off_target_allowed_rolling3_home
over_15,Over 1.5 goles,diff_shots_outside_box_allowed_rolling3
over_15,Over 1.5 goles,touches_in_box_rolling3_home
over_15,Over 1.5 goles,duel_win_pct_rolling3_home
over_15,Over 1.5 goles,aerial_duels_won_allowed_rolling3_home
over_15,Over 1.5 goles,clearances_allowed_rolling3_home
over_15,Over 1.5 goles,errors_lead_to_shot_rolling3_home
over_15,Over 1.5 goles,diff_errors_lead_to_shot_rolling3
over_15,Over 1.5 goles,xg_per_sh_allowed_rolling3_home
over_15,Over 1.5 goles,sot_per_sh_allowed_rolling3_home
over_15,Over 1.5 goles,gf_rolling5_home
over_15,Over 1.5 goles,sot_rolling5_home
over_15,Over 1.5 goles,diff_sot_pct_rolling5
over_15,Over 1.5 goles,xg_rolling5_home
over_15,Over 1.5 goles,passes_rolling5_home
over_15,Over 1.5 goles,yellow_cards_allowed_rolling5_home
over_15,Over 1.5 goles,diff_yellow_cards_allowed_rolling5
over_15,Over 1.5 goles,goalkeeper_saves_allowed_rolling5_home
over_15,Over 1.5 goles,touches_in_box_rolling5_home
over_15,Over 1.5 goles,duel_win_pct_rolling5_home
over_15,Over 1.5 goles,aerial_duels_won_allowed_rolling5_home
over_15,Over 1.5 goles,aerial_duels_won_allowed_rolling5_away
over_15,Over 1.5 goles,successful_dribbles_allowed_rolling5_home
over_15,Over 1.5 goles,clearances_allowed_rolling5_home
over_15,Over 1.5 goles,table_ppg_prev_home
over_15,Over 1.5 goles,table_gd_prev_home
over_15,Over 1.5 goles,diff_table_gd_prev
over_15,Over 1.5 goles,table_rank_pct_prev_home
over_15,Over 1.5 goles,h2h_all_matches
over_25,Over 2.5 goles,gf_rolling3_home
over_25,Over 2.5 goles,diff_gf_rolling3
over_25,Over 2.5 goles,sot_rolling3_home
over_25,Over 2.5 goles,tackles_allowed_rolling3_home
over_25,Over 2.5 goles,shots_inside_box_rolling3_home
over_25,Over 2.5 goles,touches_in_box_rolling3_home
over_25,Over 2.5 goles,accurate_long_balls_rolling3_home
over_25,Over 2.5 goles,diff_accurate_long_balls_rolling3
over_25,Over 2.5 goles,goals_minus_xg_rolling3_home
over_25,Over 2.5 goles,diff_goals_minus_xg_rolling3
over_25,Over 2.5 goles,goals_minus_xg_allowed_rolling3_away
over_25,Over 2.5 goles,save_pct_allowed_rolling3_home
over_25,Over 2.5 goles,winrate_rolling3_home
over_25,Over 2.5 goles,gf_rolling5_home
over_25,Over 2.5 goles,diff_gf_rolling5
over_25,Over 2.5 goles,sot_rolling5_home
over_25,Over 2.5 goles,sot_pct_rolling5_home
over_25,Over 2.5 goles,xg_rolling5_home
over_25,Over 2.5 goles,big_chances_rolling5_home
over_25,Over 2.5 goles,big_chances_scored_rolling5_home
over_25,Over 2.5 goles,big_chances_missed_allowed_rolling5_home
over_25,Over 2.5 goles,diff_big_chances_missed_allowed_rolling5
over_25,Over 2.5 goles,tackles_allowed_rolling5_home
over_25,Over 2.5 goles,goalkeeper_saves_allowed_rolling5_home
over_25,Over 2.5 goles,blocked_shots_rolling5_away
over_25,Over 2.5 goles,shots_inside_box_rolling5_home
over_25,Over 2.5 goles,touches_in_box_rolling5_home
over_25,Over 2.5 goles,accurate_long_balls_rolling5_home
over_25,Over 2.5 goles,diff_accurate_long_balls_rolling5
over_25,Over 2.5 goles,successful_dribbles_allowed_rolling5_away
over_25,Over 2.5 goles,clearances_allowed_rolling5_home
over_25,Over 2.5 goles,high_claims_rolling5_home
over_25,Over 2.5 goles,diff_high_claims_rolling5
over_25,Over 2.5 goles,goals_minus_xg_rolling5_home
over_25,Over 2.5 goles,diff_goals_minus_xg_rolling5
over_25,Over 2.5 goles,winrate_rolling5_home
btts,Ambos anotan,poss_rolling3_away
btts,Ambos anotan,diff_corner_kicks_rolling3
btts,Ambos anotan,fouls_rolling3_away
btts,Ambos anotan,passes_rolling3_away
btts,Ambos anotan,pass_accuracy_pct_rolling3_away
btts,Ambos anotan,goalkeeper_saves_allowed_rolling3_away
btts,Ambos anotan,blocked_shots_rolling3_away
btts,Ambos anotan,diff_blocked_shots_rolling3
btts,Ambos anotan,shots_outside_box_allowed_rolling3_away
btts,Ambos anotan,diff_shots_outside_box_allowed_rolling3
btts,Ambos anotan,duel_win_pct_rolling3_away
btts,Ambos anotan,diff_dispossessed_allowed_rolling3
btts,Ambos anotan,aerial_duels_won_allowed_rolling3_away
btts,Ambos anotan,successful_dribbles_rolling3_away
btts,Ambos anotan,diff_successful_dribbles_rolling3
btts,Ambos anotan,successful_dribbles_allowed_rolling3_away
btts,Ambos anotan,diff_successful_dribbles_allowed_rolling3
btts,Ambos anotan,high_claims_allowed_rolling3_away
btts,Ambos anotan,diff_high_claims_allowed_rolling3
btts,Ambos anotan,sot_per_sh_allowed_rolling3_home
btts,Ambos anotan,poss_rolling5_away
btts,Ambos anotan,sh_rolling5_away
btts,Ambos anotan,sot_rolling5_away
btts,Ambos anotan,diff_corner_kicks_rolling5
btts,Ambos anotan,blocked_shots_rolling5_away
btts,Ambos anotan,diff_blocked_shots_rolling5
btts,Ambos anotan,diff_shots_inside_box_rolling5
btts,Ambos anotan,accurate_long_balls_allowed_rolling5_home
btts,Ambos anotan,diff_accurate_long_balls_allowed_rolling5
btts,Ambos anotan,duel_win_pct_rolling5_away
btts,Ambos anotan,aerial_duels_won_allowed_rolling5_away
btts,Ambos anotan,diff_successful_dribbles_rolling5
btts,Ambos anotan,successful_dribbles_allowed_rolling5_away
btts,Ambos anotan,clearances_rolling5_away
btts,Ambos anotan,diff_xg_per_sh_allowed_rolling5
btts,Ambos anotan,sot_per_sh_allowed_rolling5_home
