target,feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std,roc_auc,roc_auc_std,average_precision,average_precision_std,log_loss,log_loss_std,brier,brier_std
over_15,rolling_plus_table_h2h,0.9,36,0.03,balanced,3,0.5239457831325302,0.05567416191232921,0.5362828916120452,0.05205931221996673,0.6067760179926975,0.0569271889198963,0.5541227320224186,0.021286699371824508,0.7598086134478669,0.026304872808664868,0.7224996132690228,0.013047770082652153,0.26198357010540513,0.005833019796689241
over_15,rolling_plus_table_h2h,0.95,36,0.03,balanced,3,0.5121987951807229,0.026866670706863743,0.5400362032023475,0.011855735458857946,0.5862850694978715,0.03774039079559745,0.5504575535923499,0.03015415194584095,0.7631389272745076,0.030391041541095423,0.7316970751774611,0.02376377555088782,0.2664493532468147,0.01032472715758099
over_15,rolling_plus_table_h2h,0.9,36,0.1,balanced,3,0.5219377510040161,0.04270214998485226,0.5349054811437256,0.0370462223868967,0.6048637240510458,0.045283136470990824,0.5575430374803415,0.021890643541238142,0.76055195041589,0.02338406702572887,0.7355877920357536,0.014008023594735273,0.2661918585350367,0.006383253544092295
over_15,rolling_plus_table_h2h,0.9,72,0.03,balanced,3,0.5159136546184738,0.06429227666493592,0.5120140801958984,0.06502256427853643,0.6083387944057564,0.06188587169885941,0.5516006459580127,0.03658386054969454,0.7632726370369434,0.02898562607965139,0.7426248476808782,0.023598941168620862,0.2691092988778639,0.010130670337174
over_15,rolling_plus_table_h2h,0.9,36,0.3,balanced,3,0.5345883534136546,0.02297277833389592,0.5413186198452656,0.020500734162276622,0.6213430653784116,0.02371369322857848,0.5525347519077927,0.024674440078297194,0.7538145109798079,0.018997229178851494,0.745302332584536,0.013530805359966206,0.26905450770404044,0.005852564248849465
over_15,rolling_plus_table_h2h,0.95,72,0.03,balanced,3,0.5200803212851405,0.04176049096728792,0.5313205197217736,0.05041884500269161,0.6048567806287969,0.037220954152927435,0.5520613660112094,0.044086060738238904,0.7670276880378261,0.037559710552965274,0.7477866674185902,0.02626600667806383,0.27179228712156694,0.011049412148462185
over_15,rolling_plus_table_h2h,0.95,36,0.1,balanced,3,0.5037148594377511,0.025099999996787106,0.5271418468910632,0.012787891943349181,0.5807788632927957,0.03333223355418988,0.5421265951046516,0.04258079483235679,0.7590422339549975,0.031995196427013387,0.7485681524864253,0.029594819660596842,0.27263557538695965,0.012613299201173128
over_15,rolling_plus_table_h2h,0.95,36,0.3,balanced,3,0.49939759036144576,0.03450340317837976,0.5100429583188203,0.029184865936049294,0.5844575495939973,0.03782615122532637,0.5335143493450704,0.04590875140231875,0.7519074547816619,0.03112428413142694,0.7624679158620523,0.03173166703331486,0.27747487821128725,0.013300370957508382
over_15,rolling_plus_table_h2h,0.9,72,0.1,balanced,3,0.5427710843373493,0.03237729982127967,0.5493229051222782,0.03495238377720969,0.6288826851495315,0.031951165349823125,0.5502169025679997,0.043693336761645024,0.7629703536282122,0.03103806211489687,0.7717776002959355,0.02925624093546175,0.277018962589509,0.011289577174863959
over_15,rolling_plus_table_h2h,0.95,72,0.1,balanced,3,0.5157630522088353,0.04488058496705865,0.5212997266288802,0.053701577432778674,0.603269611983876,0.04303162817643142,0.5439019241527078,0.04934028489468555,0.7632727497762032,0.03485859034149008,0.77843421982847,0.028966701607145432,0.2812403502528453,0.011535758129848063
over_15,rolling_plus_table_h2h,0.9,72,0.3,balanced,3,0.5324297188755021,0.03480020194739895,0.535169880624426,0.04107368319111597,0.621017189438242,0.03381351113985005,0.5524292032129022,0.0488683464178497,0.7645755216964089,0.029366928611779895,0.801623204180045,0.03850998893508987,0.28402113659027733,0.012647848648834333
over_15,rolling_plus_table_h2h,0.95,72,0.3,balanced,3,0.5219377510040161,0.047330120219533374,0.523174799193608,0.06504288090194921,0.6122229244201015,0.03948431195113775,0.5402731600223762,0.04877466201349129,0.7613071392314915,0.02927863230186135,0.8126721167663241,0.027629388327466996,0.2909386424640593,0.01129948818039314
over_15,rolling_plus_table_h2h,0.9,all,0.03,balanced,3,0.5508032128514057,0.07128542338311451,0.5454281582808229,0.06659305347774862,0.6407952069716775,0.07017377280845617,0.5483101653948049,0.0738825741249417,0.7425740540655573,0.04580212059400734,0.8569031037231739,0.09626956583453021,0.2967409678405721,0.03732789318991531
over_15,rolling_plus_table_h2h,0.95,all,0.03,balanced,3,0.5404618473895583,0.07289533468524503,0.5406795224977042,0.08087481076841599,0.6290401760970434,0.06697329350338795,0.5484326018808777,0.07697643071340222,0.746286443821878,0.05120070572406973,0.8659519817968757,0.09848386617448224,0.2985179312479619,0.036695492687951706
over_15,rolling_plus_table_h2h,0.9,all,0.1,balanced,3,0.5443273092369477,0.09359026636062269,0.5292090180804915,0.09326348453807229,0.6388901846755091,0.0880562218827029,0.5372977423134163,0.07707615236763145,0.7433906746299801,0.05627731654648042,1.017671432192783,0.1370733063912531,0.32295412108417626,0.04389829601561204
