target,market,feature
over_15,Over 1.5 goles,poss_rolling3_away
over_15,Over 1.5 goles,pass_accuracy_pct_allowed_rolling3_away
over_15,Over 1.5 goles,diff_pass_accuracy_pct_allowed_rolling3
over_15,Over 1.5 goles,tackles_allowed_rolling3_away
over_15,Over 1.5 goles,diff_tackles_allowed_rolling3
over_15,Over 1.5 goles,shots_off_target_rolling3_away
over_15,Over 1.5 goles,diff_shots_off_target_rolling3
over_15,Over 1.5 goles,diff_shots_inside_box_rolling3
over_15,Over 1.5 goles,diff_touches_in_box_allowed_rolling3
over_15,Over 1.5 goles,accurate_long_balls_rolling3_away
over_15,Over 1.5 goles,diff_accurate_long_balls_rolling3
over_15,Over 1.5 goles,diff_accurate_crosses_rolling3
over_15,Over 1.5 goles,dispossessed_rolling3_away
over_15,Over 1.5 goles,diff_dispossessed_rolling3
over_15,Over 1.5 goles,diff_ground_duels_won_allowed_rolling3
over_15,Over 1.5 goles,aerial_duels_won_rolling3_home
over_15,Over 1.5 goles,diff_aerial_duels_won_rolling3
over_15,Over 1.5 goles,clearances_allowed_rolling3_away
over_15,Over 1.5 goles,diff_clearances_allowed_rolling3
over_15,Over 1.5 goles,errors_lead_to_shot_rolling3_away
over_15,Over 1.5 goles,goal_kicks_allowed_rolling3_away
over_15,Over 1.5 goles,diff_goal_kicks_allowed_rolling3
over_15,Over 1.5 goles,passes_rolling5_home
over_15,Over 1.5 goles,tackles_rolling5_away
over_15,Over 1.5 goles,diff_tackles_rolling5
over_15,Over 1.5 goles,tackles_allowed_rolling5_away
over_15,Over 1.5 goles,diff_tackles_allowed_rolling5
over_15,Over 1.5 goles,dispossessed_rolling5_away
over_15,Over 1.5 goles,diff_dispossessed_rolling5
over_15,Over 1.5 goles,dispossessed_allowed_rolling5_away
over_15,Over 1.5 goles,diff_dispossessed_allowed_rolling5
over_15,Over 1.5 goles,aerial_duels_won_rolling5_home
over_15,Over 1.5 goles,diff_aerial_duels_won_rolling5
over_15,Over 1.5 goles,errors_lead_to_shot_rolling5_away
over_15,Over 1.5 goles,diff_errors_lead_to_shot_rolling5
over_15,Over 1.5 goles,diff_high_claims_rolling5
over_25,Over 2.5 goles,poss_rolling3_away
over_25,Over 2.5 goles,diff_sot_pct_rolling3
over_25,Over 2.5 goles,diff_big_chances_allowed_rolling3
over_25,Over 2.5 goles,big_chances_missed_allowed_rolling3_home
over_25,Over 2.5 goles,diff_big_chances_missed_allowed_rolling3
over_25,Over 2.5 goles,fouls_rolling3_away
over_25,Over 2.5 goles,diff_fouls_rolling3
over_25,Over 2.5 goles,pass_accuracy_pct_rolling3_home
over_25,Over 2.5 goles,pass_accuracy_pct_rolling3_away
over_25,Over 2.5 goles,pass_accuracy_pct_allowed_rolling3_away
over_25,Over 2.5 goles,diff_pass_accuracy_pct_allowed_rolling3
over_25,Over 2.5 goles,yellow_cards_allowed_rolling3_away
over_25,Over 2.5 goles,shots_off_target_rolling3_away
over_25,Over 2.5 goles,diff_shots_off_target_rolling3
over_25,Over 2.5 goles,shots_off_target_allowed_rolling3_home
over_25,Over 2.5 goles,diff_touches_in_box_allowed_rolling3
over_25,Over 2.5 goles,accurate_long_balls_rolling3_away
over_25,Over 2.5 goles,diff_accurate_long_balls_rolling3
over_25,Over 2.5 goles,aerial_duels_won_rolling3_home
